"S01" "S02" "S03" "S04" "S05" "S06" "S07" "S08" "S09" "S10" "S11" "S12" "S13"
"S01" 74489.24865 107.1214 0 194708.95749 0 41.82982 184.95697 5002.03287 0 9.54071 145.42358 555.19334 223.67684
"S02" 1.79487 0.29761 0.0083 69.73559 0 0.02067 0.02435 15.59909 4.02705 0.01285 0.03334 0.5075 0.96344
"S03" 2.04067 3.07086 7316.25031 47978.84158 4927.52186 5570.79113 6.92609 39.08424 270.93461 1.98616 137.86717 140.44088 73.03404
"S04" 21976.41829 467.3822 6661.46454 199130.78338 2621.70176 69533.04957 12344.14663 40705.00279 48646.97428 5008.27254 11258.63196 11281.9683 28549.2562
"S05" 235.69685 4.39866 1470.26421 10570.71711 14361.15092 1975.0147 4261.52854 2840.57836 8166.08562 852.76034 491.18069 1310.41519 3492.27835
"S06" 45.36041 0 512.91967 1393.36665 780.18574 0 851.9258 724.30011 6915.41066 210.72268 1519.77277 881.83093 1127.95688
"S07" 5095.10878 131.20002 1723.40148 26444.00128 919.92897 9782.00111 4793.95317 3482.57191 15384.9314 2047.33299 2904.632 2903.73782 5735.4018
"S08" 3397.195 264.10421 870.38221 26719.9745 292.44307 1287.34372 3182.93078 11347.28829 11803.85969 4898.70427 2549.19655 11833.70682 7103.18386
"S09" 40177.06294 416.43816 19552.5818 108119.23232 7176.81671 12210.02375 30798.89757 5191.97199 110226.36662 12533.38262 11877.34586 10354.40286 14864.55465
"S10" 3715.02052 110.66272 2494.00114 10105.08618 1740.45472 4251.78348 10934.81254 3333.71391 32694.70099 44221.87975 3427.78105 15324.41226 5261.85927
"S11" 469.46998 92.39018 2085.18247 11015.33022 1918.45029 4377.7169 12709.50528 5721.99181 25393.86515 9261.53567 6651.66377 3221.64512 10172.73983
"S12" 697.3937 53.60601 434.35149 1780.27338 524.96598 3041.28646 1664.40618 261.47189 5474.83239 1741.02686 573.66262 1371.65369 2175.70211
"S13" 700.83735 1.57848 218.93496 2652.14168 131.29706 292.62407 1632.37492 1132.48294 4577.34516 863.29812 6064.73231 8828.21277 21194.95668
